Comment_Period,Method,EG_1,EG_DEC,Subcommittee,Component_Description,Episode_Theme_Description,Comment_No,Commenter_1_Organization,Comment_Excerpt,Comment_Excerpt_Summary,EG_TYPE
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Additional clinical input needed,12,American College of Cardiology,"Condition-based episodes also increase the potential for a patient to fall within simultaneous episodes. For example, a patient with chronic heart failure is likely to suffer from other chronic conditions, plus undergo various procedures. This creates a web in which services must be sorted and attributed to the proper episode and clinician. In cases where a patient is admitted with two chronic conditions, such as heart failure and atrial fibrillation, heart failure may precipitate the atrial fibrillation, or the atrial fibrillation with rapid rates may precipitate the heart failure. In this instance, it is unclear which episode and clinicians the admission will be attributed to. The College is aware of circumstances where inaccurate attribution has occurred due to overlapping episodes. For example, some ophthalmologists have been held accountable for the resource use related to the treatment of a patient with a chronic cardiovascular condition because the patient presented to the ophthalmologist for a cataract procedure, triggering a new episode. Maintaining procedure-based episodes rather than condition-based episodes could eliminate some of these problems.","Condition-based episodes increase the potential for a patient to fall within simultaneous episodes. For example, a patient with chronic heart failure is likely to suffer from other chronic conditions, and also undergo various procedures. This creates a web in which services must be assigned to the proper episode and attributed to the proper clinician. In cases where a patient is admitted with two chronic conditions, such as heart failure and atrial fibrillation, heart failure may precipitate the atrial fibrillation, or the atrial fibrillation with rapid rates may precipitate the heart failure. In this instance, it is unclear which episode and clinicians the admission will be attributed to.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Justification for/against creating the episode group,12,American College of Cardiology,"The ACC continues to hold concerns about the development and implementation of episodes for chronic cardiovascular conditions, particularly heart failure, atrial fibrillation, and ischemic heart disease. Disease progression is variable among patients and is often impacted by factors outside of the clinician’s control.","There are concerns about the development and implementation of episode groups for chronic cardiovascular conditions, particularly conditions like heart failure. Disease progression is variable among patients and is often impacted by factors outside of the clinician’s control.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Additional clinical input needed,18,Medtronic,"Since the trigger codes for chronic heart failure (HF) are identical to those for acute HF, it will be impossible to distinguish chronically ill patients from those with acute exacerbations of heart failure. It will also be impossible to determine which episode group (acute HF or chronic HF) will apply to these patients. 
CMS must determine how to apply episodes for patients who have chronic HF with an acute exacerbation.","Since the trigger codes for chronic heart failure (HF) are identical to those for acute HF, it will be impossible to distinguish chronically ill patients from those with acute exacerbations of heart failure. It will also be impossible to determine which episode group (acute HF or chronic HF) will apply to these patients. There should also be consideration given to applying episodes for patients who have chronic HF with an acute exacerbation.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Removal of trigger codes,35,American Society of Echocardiography,"For example, a Chronic Heart Failure Episode Group may be triggered by a wide range of diagnosis codes, including both acute and chronic heart failure codes, and also including a number of “unspecified” heart failure codes. Such broad trigger services may sweep into this Episode Group a wide range of patients with extremely different clinical profiles. 
Moreover, it appears that the “Closing Date” of the Chronic Heart Failure Episode is even more open-ended: The Supporting Materials indicate: 
[S]services may be assigned until the date determined by the episode's closing rule, for chronic heart failure the closing rule is based on absence of any service assignment for a specific billing period, or until the patient is deceased.","The Chronic Heart Failure episode group may be triggered by a wide range of diagnosis codes, including both acute and chronic heart failure codes, also including a number of “unspecified” heart failure codes. Such broad trigger services may cause this episode group to include a wide range of patients with extremely different clinical profiles.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Assigning Costs to the EG,Additional clinical input needed,35,American Society of Echocardiography,"Moreover, it appears that the “Closing Date” of the Chronic Heart Failure Episode is even more open-ended: The Supporting Materials indicate: 
[S]services may be assigned until the date determined by the episode's closing rule, for chronic heart failure the closing rule is based on absence of any service assignment for a specific billing period, or until the patient is deceased.","The end date for the Chronic Heart Failure episode group is too open-ended: the Supporting Materials indicate that services may be assigned until the date determined by the episode's closing rule, and for chronic heart failure the closing rule is based on absence of any service assignment for a specific billing period, or until the patient is deceased.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Aligning EG costs with quality,Alignment with quality measure considerations,18,Medtronic,"Patients with chronic heart failure are susceptible to acute exacerbation during hospitalization due to fluid administration, immobility, and other triggers. Continuous patient surveillance of patients with chronic heart failure for heart rate, respiration rate, single-lead ECG may alert physicians to changes in patient condition that may indicate the development of acute exacerbation, enabling early identification and intervention prior to the acute condition. Since this monitoring cannot be identified using claims data, we strongly recommend that the appropriate use of patient monitoring be addressed through appropriate quality measures upon implementation.","Patients with chronic heart failure are susceptible to acute exacerbation during hospitalization due to fluid administration, immobility, and other triggers. Continuous patient surveillance of patients with chronic heart failure for heart rate, respiration rate, single-lead ECG may alert physicians to changes in patient condition that may indicate the development of acute exacerbations, enabling early identification and intervention prior to the acute condition. Since this monitoring cannot be identified using claims data, the costs for patient monitoring should be addressed through appropriate quality measures upon implementation.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Assigning Costs to the EG,Additional clinical input needed,35,American Society of Echocardiography,"While the “bulk of spending” for patients with heart disease may be expended on those with chronic conditions, ASE believes that the adoption or application of Episode Groups for chronic cardiovascular conditions would be premature.
For example, the 43 Episode Groups identified in the Episode Group RFI includes Episode Groups for Chronic Atrial Fibrillation, Chronic Heart Failure, and Chronic Ischemic Heart Disease. None of these Episode Groups for chronic cardiovascular conditions are included on the 2014 Supplemental QRUR Reports and therefore they are all fundamentally untested. Both the “Trigger” and the “Closing Date” events for these Episode Groups appear to be extremely broadly defined.",Both the “Trigger” and the “Closing Date” events for the Chronic Heart Failure episode group appear to be extremely broadly defined.,Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Assigning Costs to the EG,Additional clinical input needed,35,American Society of Echocardiography,"We are also concerned that the “Sequelae” policy for the Chronic Atrial Fibrillation, Chronic Heart Failure, and Chronic Ischemic Heart Disease Episode Groups virtually ensures that cross-comparisons of resource use will be meaningless without further Episode Group refinement. For example, for the Chronic Heart Failure Episode Group, the Sequelae Rule states: 
As with all episodes, a HF Chronic episode may be linked to other condition episodes as sequelae. In other words, if any one of the conditions asserted to be a clinically plausible sequela of HF Chronic occurs while the HF Chronic episode is open, the sequela episode will be linked and attached to the HF Chronic episode. For example, if episodes for cardiac arrest or respiratory failure (RF) are triggered during a HF Chronic episode, then the services and costs assigned to cardiac arrest or RF - up until the closing date of the HF Chronic episode - will be included for reporting and analysis as a component of the HF Chronic episode.","There is concern that the “Sequelae” policy for the Chronic Atrial Fibrillation, Chronic Heart Failure, and Chronic Ischemic Heart Disease Episode Groups virtually ensures that cross-comparisons of resource use will be meaningless without further episode group refinement. For example, for the Chronic Heart Failure Episode Group, the Sequelae Rule states: As with all episodes, a HF Chronic episode may be linked to other condition episodes as sequelae. In other words, if any one of the conditions asserted to be a clinically plausible sequela of HF Chronic occurs while the HF Chronic episode is open, the sequela episode will be linked and attached to the HF Chronic episode. For example, if episodes for cardiac arrest or respiratory failure (RF) are triggered during a HF Chronic episode, then the services and costs assigned to cardiac arrest or RF - up until the closing date of the HF Chronic episode - will be included for reporting and analysis as a component of the HF Chronic episode.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Removal of trigger codes,38,American Society of Nuclear Cardiology,"Upon review of CMS’ draft episode groups, ASNC found the use of incorrect codes. Specifically, the episode groups for CABG, PCI, Aortic/Mitral Valve Surgery, Heart Failure, Acute Exacerbation, Heart Failure, Chronic, Atrial Fibrillation (Afib)/Flutter, Acute Exacerbation all contain 78465 (series 78464,78460,78461), which are codes that no longer exist. In 2010, the replacement codes 78452, 78451, 78453, 78454 were created.","Codes 78465 (series 78464,78460,78461) are codes that no longer exist and should be replaced with codes 78451, 78452, 78453, and 78454.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Assigning Costs to the EG,Removal of assigned services,18,Medtronic,"The relevant services include implantation of patient-activated cardiac event recorder (CPT 33282). This procedure is relevant to cardiac arrhythmias (e.g., atrial fibrillation), but is not directly relevant to HF treatment. Medtronic recommends that this code be removed from the list of relevant services for HF.","The implantation of patient-activated cardiac event recorder (CPT 33282) is included as an assigned service for this episode group. This procedure is relevant to cardiac arrhythmias (e.g., atrial fibrillation), but is not directly relevant to heart failure (HF) treatment and should be removed from the list of relevant services for HF.",Chronic Condition
2015_10_cms_episode_groups,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Defining an EG,Addition of trigger codes,38,American Society of Nuclear Cardiology,"Upon review of CMS’ draft episode groups, ASNC found the use of incorrect codes. Specifically, the episode groups for CABG, PCI, Aortic/Mitral Valve Surgery, Heart Failure, Acute Exacerbation, Heart Failure, Chronic, Atrial Fibrillation (Afib)/Flutter, Acute Exacerbation all contain 78465 (series 78464,78460,78461), which are codes that no longer exist. In 2010, the replacement codes 78452, 78451, 78453, 78454 were created. See the table below for current codes and descriptions. &nbsp;&nbsp;&nbsp;78451 | Myocardial Perfusion Imaging, Tomographic (SPECT)(Including Attenuation Correction, Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when performed); Single Study, at Rest or Stress (Exercise or Pharmacologic) &nbsp;&nbsp;78452 | Myocardial Perfusion Imaging, Tomographic (SPECT) (Including Attenuation Correction, Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Multiple Studies, at Rest and/ or Stress (Exercise or Pharmacologic) and/or Redistribution and/ or Rest Reinjection &nbsp;&nbsp;78453 | Myocardial Perfusion Imaging, Planar (Including Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Single Study, at Rest or Stress (Exercise or Pharmacologic) &nbsp;&nbsp;78454 | Myocardial Perfusion Imaging, Planar (Including Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Multiple Studies, at Rest and/ or Stress (Exercise or Pharmacologic) and/ or Redistribution and/ or Rest Reinjection","Codes 78465 (series 78464,78460,78461) are codes that no longer exist and should be replaced with codes 78451, 78452, 78453, and 78454. The code descriptions are as follows: 78451 | Myocardial Perfusion Imaging, Tomographic (SPECT)(Including Attenuation Correction, Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when performed); Single Study, at Rest or Stress (Exercise or Pharmacologic), 78452 | Myocardial Perfusion Imaging, Tomographic (SPECT) (Including Attenuation Correction, Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Multiple Studies, at Rest and/ or Stress (Exercise or Pharmacologic) and/or Redistribution and/ or Rest Reinjection; 78453 | Myocardial Perfusion Imaging, Planar (Including Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Single Study, at Rest or Stress (Exercise or Pharmacologic); 78454 | Myocardial Perfusion Imaging, Planar (Including Qualitative or Quantitative Wall Motion, Ejection Fraction by First Pass or Gated Technique, Additional Quantification, when Performed); Multiple Studies, at Rest and/ or Stress (Exercise or Pharmacologic) and/ or Redistribution and/ or Rest Reinjection.",Chronic Condition
2016_04_supplemental_egs,A,"Heart Failure, Chronic",Heart Failure,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,23,Phillips Healthcare,"Clinically relevant volcano technologies fractional flow reserve (CPT 93571 and 93572) , coronary intravascular ultrasound (CPT 37252 and 37253) not included",Clinically relevant volcano technologies like fractional flow reserve (CPT 93571 and 93572) and coronary intravascular ultrasound (CPT 37252 and 37253) are not included in the Heart Failure episode group.,Chronic Condition
2016_12_macra_posting,,Implantable Cardiac Defibrillator (ICD) Implantation,Implantable Cardiac Defibrillator (ICD) Implantation,Cardiovascular Disease Management,Defining an EG,Justification for/against creating the episode group,68,American College of Cardiology,"The ACC recommends removing Implantable Cardiac Defibrillator (ICD) Implantation and Pacemaker Implantation from the list. This is a very heterogeneous group. The approach to and costs of caring for patients with ICD implantation is largely driven by the underlying condition for which the ICD is implanted. For example, ICDs are indicated for patients with advanced heart failure that have reduced ejection fraction as well as for young patients with no heart disease other than a genetic predilection for malignant arrhythmias. The management plans for these groups differ widely. Equally wide disparities can be found in those undergoing pacemaker implantation which may be indicated as treatment for an otherwise healthy patient with congenital heart block or a patient with advanced heart failure having reduced ejection fraction for whom the driver is the need for ventricular resynchronization.","It is recommended that Implantable Cardiac Defibrillator (ICD) Implantation and Pacemaker Implantation  be removed from the list of episode groups because it is a very heterogeneous group. For example, ICDs are indicated for patients with advanced heart failure that have reduced ejection fraction as well as for young patients with no heart disease other than a genetic predilection for malignant arrhythmias.  Equally wide disparities can be found in those undergoing pacemaker implantation for an otherwise healthy patient with congenital heart block compared to a patient with advanced heart failure reduced ejection fraction for whom ventricular resynchronization is needed.",Procedural
2016_12_macra_posting,,Implantable Cardiac Defibrillator (ICD) Implantation,Implantable Cardiac Defibrillator (ICD) Implantation,Cardiovascular Disease Management,Defining an EG,Removal of trigger codes,10,Heart Rhythm Society,"Our only episode specific concern at this time has to do with one of the proposed trigger codes for the procedural episode “Implantable Cardiac Defibrillator (ICD) Implantation.” HRS is not clear what the following trigger code refers to: “0294T: Insertion of Left Upper Heart Monitor and Pacing Defibrillator Pulse Generator, with Radiological Supervision and Interpretation”.","The following trigger code: “0294T: Insertion of Left Upper Heart Monitor and Pacing Defibrillator Pulse Generator, with Radiological Supervision and Interpretation” is unclear and should be removed from the procedural episode ""Implantable Cardiac Defibrillator (ICD) Implantation.",Procedural
2015_10_cms_episode_groups,A,Pacemaker,Implantable Cardiac Defibrillator (ICD) Implantation,Cardiovascular Disease Management,Defining an EG,Removal of trigger codes,18,Medtronic,"The following CPT codes should be removed from the list of services, as they are implantable cardioverter defibrillator codes and not pacemaker codes: 33223, 33240, 33241, 33242, 33243, 33244, 33245, 33246, 33249, 33282, 93295, 93640, 03641, 93642, 93737, 93738, 93741, 93742, 93743, 93744, and 93745. The following CPT code should be removed from sequelae as it is relevant to vascular devices: 99674.","CPT codes 33223, 33240, 33241, 33242, 33243, 33244, 33245, 33246, 33249, 33282, 93295, 93640, 03641, 93642, 93737, 93738, 93741, 93742, 93743, 93744, and 93745 should be removed from the list of assigned services for the pacemaker episode because they are implantable cardioverter defibrillator codes. CPT code 99674 should also be removed from sequelae as it is relevant to vascular devices.",Procedural
2015_10_cms_episode_groups,A,Pacemaker,Implantable Cardiac Defibrillator (ICD) Implantation,Cardiovascular Disease Management,Assigning Costs to the EG,Addition of assigned services,18,Medtronic,"In addition, diagnosis code, 996.72, should be added as it is relevant to pacemakers.",Diagnosis code 996.72 should be added as an assigned service.,Procedural
2015_10_cms_episode_groups,A,Pacemaker,Implantable Cardiac Defibrillator (ICD) Implantation,Cardiovascular Disease Management,Assigning Costs to the EG,Decrease length of episode window,18,Medtronic,"In identification of the episodes, consider decreasing the closing rule to 30 days. The closing rule is defined to be 90 days rather than 30 days as mentioned in the tab named ""Summary"", and inconsistent with the explanation stating that most treatment episodes close 30 days after the defining surgical procedure.","In identification of the episodes, consider decreasing the closing rule to 30 days (from 90 days) post-surgical procedure to be consistent.",Procedural
2016_12_macra_posting,,Inflammatory Bowel Disease,Inflammatory Bowel Disease,Chronic Disease Management,Defining an EG,Removal of trigger codes,61,American Gastroenterological Association,"We recommend that CMS make several changes to the trigger codes for IBD: 
Remove ICD-10-CM codes K50, K50.0, K50.01, K50.1, K50.11, K50.8, K50.81, K50.9, K50.91, K51, K51.0, K51.01, K51.2, K51.21, K51.3, K51.31, K51.8, K51.81, K51.9, and K51.91. These ICD-10-CM codes are non-billable as they are non-specific codes.","The following ICD-10-CM codes should be removed as trigger codes: K50, K50.0, K50.01, K50.1, K50.11, K50.8, K50.81, K50.9, K50.91, K51, K51.0, K51.01, K51.2, K51.21, K51.3, K51.31, K51.8, K51.81, K51.9, and K51.91. These codes are non-specific and therefore not billable.",Chronic Condition
2016_12_macra_posting,,Inflammatory Bowel Disease,Inflammatory Bowel Disease,Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",61,American Gastroenterological Association,"Additionally, AGA recommends establishing subgroups that distinguish between Crohn’s disease and ulcerative colitis. Additionally, ulcerative colitis should be further grouped to distinguish the extend of disease as pancolitis requires different management compared to proctitis and other types of ulcerative colitis.","Sub-groups should be established to distinguish between Crohn’s disease and ulcerative colitis. Additionally, ulcerative colitis should be further grouped to distinguish the extent of disease as pancolitis requires different management compared to proctitis and other types of ulcerative colitis.",Chronic Condition
2016_12_macra_posting,,Inflammatory Bowel Disease,Inflammatory Bowel Disease,Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",17,American College of Gastroenterology,ACG believes that the “inflammatory bowel disease” episode should be divided into “ulcerative colitis” and “Crohn’s disease” to account for any variances in costs.,The Inflammatory Bowel Disease episode group should be divided into “ulcerative colitis” and “Crohn’s disease” to account for any variances in costs.,Chronic Condition
2016_12_macra_posting,,Inflammatory Bowel Disease,Inflammatory Bowel Disease,Chronic Disease Management,Defining an EG,Justification for/against creating the episode group,65,American Society for Gastrointestinal Endoscopy,"For example, cirrhosis could be looked at as a Chronic Disease Management management issue, or as an episode when there is a decompensation or hospitalization for complication. The possible scenarios are similar for inflammatory bowel disease.","There is a difference between Chronic Disease Management management or decompensation and hospitalization.  For example Inflammatory Bowel Disease could be looked at as either a Chronic Disease Management management issue, or as an episode when there is a decompensation or hospitalization for a complication.",Chronic Condition
2016_12_macra_posting,,Laryngectomy,Laryngectomy,Head and Neck Disease Management,Defining an EG,Justification for/against creating the episode group,25,American Academy of Otolaryngology - Head and Neck Surgery,"The Academy appreciates the inclusion of two procedural episode groups applicable to Otolaryngologist Head and Neck Surgeons, Laryngectomy and Thyroidectomy Partial or Complete. The Academy believes these are appropriate episode groups for inclusion.",The Laryngectomy episode group is an appropriate episode group to be developed.,Procedural
2016_12_macra_posting,,Lower Extremity Deep Vein Thrombosis (DVT) Requiring Anticoagulation,Lower Extremity Deep Vein Thrombosis (DVT) Requiring Anticoagulation,Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,25,American Academy of Otolaryngology - Head and Neck Surgery,"We seek clarification from CMS on how it intends to score specialists such as Otolaryngologist Head and Neck Surgeons that either have a dearth of episodes, or entire lack of applicable episode groups. There are, however, several episode groups that Otolaryngologist -- Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Asthma/ Chronic Obstructive Pulmonary Disease (COPD), Atrial Fibrillation, Rheumatoid Arthritis, and Lower Extremity Deep Vein Thrombosis (DVT) requiring anticoagulation. As currently constructed, it is not clear to Otolaryngologist Head and Neck Surgeons that they may be scored on components of these and other episodes they may encounter.",It is unclear how Otolaryngologist Head and Neck Surgeons may be scored on components of the Lower Extremity Deep Vein Thrombosis (DVT) Requiring Anticoagulation episode group since they will have either a dearth of episodes or a lack of applicable episode groups.,Chronic Condition
2016_12_macra_posting,,Lumpectomy Or Partial Mastectomy,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",38,The University of Texas MD Anderson Cancer Center,"For example, cancer patients should only be compared to other cancer patients. These comparisons should be made after CMS creates sub-groups or specialty groups to facilitate comparisons within cancer types (e .g., comparing breast cancer patients only to other breast cancer patients). Due to the complexities of the different types of cancer, comparisons across different types of cancers are inappropriate. For instance, comparing lung cancer patients to breast cancer patients would be misleading.","Cancer patients should only be compared to other cancer patients. These comparisons should be made after CMS creates sub-groups or specialty groups to facilitate comparisons within cancer types (e .g., comparing breast cancer patients only to other breast cancer patients). Due to the complexities of the different types of cancer, comparisons across different types of cancers are inappropriate. For instance, comparing lung cancer patients to breast cancer patients would be misleading.",Procedural
2016_12_macra_posting,,Lumpectomy Or Partial Mastectomy,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,Justification for/against creating the episode group,62,American Society of Clinical Oncology,"There are only two proposed episodes that may or may not involve patients receiving medical oncology services (the mastectomy episode and the prostate cancer treatment episode), and these episodes are unlikely to provide an accurate evaluation of the value provided by medical oncologists. These two episodes are related to surgical procedures rather than management of active and ongoing cancer treatment by a medical oncologist.",This episode group is unlikely to provide an accurate evaluation of the value provided by medical oncologists as it is related to surgical procedures rather than the management of active and ongoing cancer treatment by a medical oncologist.,Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",57,"Oncology Hematology Care, Inc","Potential subcategories may be revealed through data analysis showing bi-modal distribution of cost and resource use, and verified by clinical input.  Inclusion of sub-category triggers for mastectomy could lend to more meaningful groups, such as:
Mastectomy in metastatic breast cancer
Modified radical mastectomy, with chemotherapy/radiation therapy
Modified radical mastectomy, without chemotherapy/radiation therapy
Simple or partial mastectomy, with chemotherapy/radiation therapy
Simple or partial mastectomy, without chemotherapy/radiation therapy","Potential subcategories may be revealed through data analysis showing bi-modal distribution of cost and resource use, and verified by clinical input. Inclusion of sub-category triggers for mastectomy could lend to more meaningful groups such as: Mastectomy in metastatic breast cancer; Modified radical mastectomy, with chemotherapy/radiation therapy; Modified radical mastectomy, without chemotherapy/radiation therapy; Simple or partial mastectomy, with chemotherapy/radiation therapy; Simple or partial mastectomy, without chemotherapy/radiation therapy.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,13,The American Congress of Obstetricians and Gynecologists,"The episode group for mastectomy for breast cancer should be broadened to include the important work that obstetrician gynecologists (ob-gyns) undertake when screening and diagnosing breast cancer, as well as create an avenue to reward ob-gyns who avert unnecessary surgeries.","This episode group should be broadened to include the important work that obstetrician gynecologists (ob-gyns) undertake when screening and diagnosing breast cancer, as well as create an avenue to reward ob-gyns who avert unnecessary surgeries.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,Additional clinical input needed,27,American Society of Plastic Surgeons,"Not all patients with breast cancer undergo reconstructive care in the same year as their mastectomy. Assigning them to a care episode based on the diagnosis of breast cancer may not capture all resources expended to treat the patient. As such, we encourage the Agency to consider specialty input to design conditions that may need unique resource-use episodes.",Not all patients with breast cancer undergo reconstructive care in the same year as their mastectomy. Including these patients in an episode based on the diagnosis of breast cancer may not capture all of the resources expended to treat the patient. Specialty input needs to be considered in the design of unique resource-use episodes.,Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",57,"Oncology Hematology Care, Inc","Episodes should be split into meaningful sub-categories when either:
Single or groups of episode triggers predict a significant divergence in resource use and costs – such the currently specified sub-categories for Mastectomy for Breast Cancer: 1) modified radical mastectomy, 2) partial/lumpectomy and 3) simple mastectomy.
OR A non-trigger service or condition is likely to reveal meaningful clinical information not available in the trigger event data.  For example, the report notes that for cancer, treatment will depend greatly on the stage of illness, a data point not explicitly available in administrative claims data.   This could be partially solved for by adding a step for sub-category triggers based on diagnosis and treatment codes.  For example:
A secondary diagnosis of C79.51 – secondary malignant neoplasm of bone reveals a subcategory for mastectomy that would allow for more meaningful comparisons of cost and resource use.
The administration of chemotherapy or biologic therapy, such as J9355, or radiation therapy, is more likely to be indicative of the patients stage or risk of disease, rather than treatment variation.","Episodes should be split into clinically meaningful sub-categories when single or groups of episode triggers predict a significant divergence in resource use and costs, such as the currently specified sub-categories for Mastectomy for Breast Cancer: 1) modified radical mastectomy, 2) partial/lumpectomy,  3) simple mastectomy, or 4) the presence of metastatic disease.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",58,Association of Freestanding Radiation Oncology Centers (AFROC),"Under these circumstances, we believe that cancer care “episodes” should exhibit substantial granularity and should be differentiated based on whether radiation, chemotherapy, surgery, or a combination of these approaches is used:  Separate Episode Based Groups should be established for surgical, chemotherapeutic and radiation treatment approaches and these should be “layered” as necessary to reflect the patient’s course of treatment.","Cancer care episodes should exhibit substantial granularity and should be differentiated based on whether radiation, chemotherapy, surgery, or a combination of these approaches is used. Separate episode groups should be established for surgical, chemotherapeutic and radiation treatment approaches and these should be combined as necessary to reflect the patient’s course of treatment.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",58,Association of Freestanding Radiation Oncology Centers (AFROC),"Episode Based Groups also should distinguish between curative and palliative courses of treatment. Special attention should be paid to ensuring that risk adjustment methodologies include clinically relevant information (e.g. the stage of the cancer), which may not be reflected in claims data.","Episode groups should distinguish between curative and palliative courses of treatment. Special attention should be paid to ensuring that risk adjustment methodologies include clinically relevant information (e.g. the stage of the cancer), which may not be reflected in claims data.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,"Splitting episode groups (e.g., sub-groups)",57,"Oncology Hematology Care, Inc","Episodes should be split into meaningful sub-categories when either:
Single or groups of episode triggers predict a significant divergence in resource use and costs – such the currently specified sub-categories for Mastectomy for Breast Cancer: 1) modified radical mastectomy, 2) partial/lumpectomy and 3) simple mastectomy.
OR A non-trigger service or condition is likely to reveal meaningful clinical information not available in the trigger event data.  For example, the report notes that for cancer, treatment will depend greatly on the stage of illness, a data point not explicitly available in administrative claims data.   This could be partially solved for by adding a step for sub-category triggers based on diagnosis and treatment codes.  For example:
A secondary diagnosis of C79.51 – secondary malignant neoplasm of bone reveals a subcategory for mastectomy that would allow for more meaningful comparisons of cost and resource use.
The administration of chemotherapy or biologic therapy, such as J9355, or radiation therapy, is more likely to be indicative of the patients stage or risk of disease, rather than treatment variation.","Episodes should be split into meaningful sub-categories when a non-trigger service or condition is likely to reveal meaningful clinical information not available in the trigger event data. For example, for cancer, treatment will depend greatly on the stage of illness, a data point not explicitly available in administrative claims data. This could be partially solved for by adding a step for sub-category triggers based on diagnosis and treatment codes. For example: A secondary diagnosis of C79.51 – secondary malignant neoplasm of bone reveals a subcategory for mastectomy that would allow for more meaningful comparisons of cost and resource use. The administration of chemotherapy or biologic therapy, such as J9355, or radiation therapy, is more likely to be indicative of the patients stage or risk of disease, rather than treatment variation.",Procedural
2015_10_cms_episode_groups,A,Mastectomy for Breast Cancer,Lumpectomy Or Partial Mastectomy,Oncologic Disease Management - Medical and Surgical,Defining an EG,Addition of trigger codes,13,The American Congress of Obstetricians and Gynecologists,The trigger for this episode should be based on radiologic procedure and appropriate diagnosis code for abnormal results.,The trigger for this episode group should be based on radiologic procedures and appropriate diagnosis codes for abnormal results.,Procedural
